Close,High,Low,Open,Volume
NVDA,NVDA,NVDA,NVDA,NVDA
30.06113624572754,30.649963801294536,29.725803587995546,29.755744649714465,391547000
29.231792449951172,30.407450890043936,28.292662528832594,30.2168304824857,527154000
27.549142837524414,29.35754213554747,27.47828478816745,28.891469242287545,498064000
28.121997833251953,28.381481331155296,27.01121087291353,27.585066961351565,454186000
27.19285011291504,28.36551610574402,27.003227178529944,28.085074417160133,409939000
27.345544815063477,27.414407928007527,25.59303417452998,26.528172253329963,594681000
27.76171875,28.009226996384303,26.785663592042308,27.268700993300914,404089000
27.943357467651367,28.53817178912904,27.553133765083295,28.011221217951395,383413000
26.522184371948242,28.42339706817921,26.445335836793394,28.322597967784002,540171000
26.88845443725586,27.14294871181414,26.157908876529852,26.24773016124949,395832000
25.851518630981445,26.585058455010692,25.718783542206612,26.20780945704016,424270000
25.017179489135742,26.490245813728656,25.00220991034634,26.02716920354063,488315000
24.102005004882812,25.52816592790516,24.030147591877117,25.25371283114106,435181000
23.327545166015625,24.77366471205507,23.216765715499022,23.46028025235357,718958000
23.325550079345703,23.33353360141309,20.846487542973147,22.285621139528853,913982000
22.279634475708008,22.897405710454315,21.9562789612793,22.501193412508638,664616000
22.72673988342285,24.009185786472784,22.25567786422713,23.193810141981658,755959000
21.900388717651367,23.947313152254385,21.631922323422884,23.521161726766028,573353000
22.79460906982422,22.81257294726287,21.253676914429107,21.96825357562381,543774000
24.437335968017578,24.460290972976274,23.00618592049365,23.135926717655092,564680000
24.589040756225586,25.09503323394057,23.84252605797595,25.054114342155483,518925000
25.191837310791016,25.76569347477143,24.50420547493788,25.742740370347118,543419000
23.900405883789062,25.027161828554508,23.7327404966598,24.409392542148876,410178000
24.270671844482422,24.586043852193274,23.585036824296264,23.924361305059936,354829000
24.67885971069336,25.13195606384545,24.153904034057735,24.323566276250155,376868000
25.05810546875,25.179862772847574,23.93234675869272,24.3105933248436,410359000
26.65192985534668,26.671890566783304,25.302617361297145,25.571081886954367,524282000
25.772680282592773,26.871492136649884,25.54912640450638,25.943341891805627,513200000
23.901403427124023,26.100026229482054,23.72575451723449,25.864495192370278,605472000
24.218774795532227,24.825566329350934,23.707791249016562,23.886436378110282,440424000
26.44234275817871,26.492242623139074,24.734742881710144,24.8994139589256,699869000
26.458311080932617,26.52917102458829,25.50121738608982,26.20681300824524,732676000
24.458295822143555,25.733755858622583,24.11697644225443,25.579063213609647,810595000
23.595014572143555,24.936343397057144,23.054091914566957,24.61897459185381,761255000
23.34351921081543,24.016179637148703,22.954294820818493,22.9892251171742,633422000
22.342506408691406,24.106994175655707,22.256678790095112,23.754695100866613,566511000
23.700801849365234,23.752698549006187,20.8484821049316,20.973233676940158,735801000
24.108989715576172,24.168869937955396,23.33453287499,23.673857307735503,528866000
24.33654022216797,24.61598446694235,23.659888105648218,23.944321576419384,477319000
23.430341720581055,24.328554607429982,23.086028049660978,24.24272507991095,412056000
24.175983428955078,24.364641033795944,23.372447983953073,23.712827876260754,389642000
23.670907974243164,24.281795369595773,23.426352346873195,24.217910588033938,365095000
22.894317626953125,23.63696498590784,22.441142240714978,23.341503399554565,431415000
21.313196182250977,22.991142952296123,21.291236802671158,22.775533982357196,450821000
21.474903106689453,22.332341322019484,20.61247291155514,21.270275724010467,557467000
22.9721736907959,23.177798676510015,22.206567458744647,22.34631240982393,492742000
22.616823196411133,22.746586101874037,21.842232493155823,22.49005319391326,428066000
22.059837341308594,23.10293830541665,22.005934624302842,22.980160740629042,367209000
